Train Step:10, Train Loss:37.7912, Val Acc:0.0932
Train Step:20, Train Loss:31.6242, Val Acc:0.0933
Train Step:30, Train Loss:35.9407, Val Acc:0.0936
Train Step:40, Train Loss:29.7542, Val Acc:0.0947
Train Step:50, Train Loss:31.8808, Val Acc:0.0968
Train Step:60, Train Loss:31.4211, Val Acc:0.0989
Train Step:70, Train Loss:25.3445, Val Acc:0.1012
Train Step:80, Train Loss:22.6032, Val Acc:0.1013
Train Step:90, Train Loss:25.3119, Val Acc:0.1038
Train Step:100, Train Loss:25.2631, Val Acc:0.1094
Train Step:110, Train Loss:25.0871, Val Acc:0.1120
Train Step:120, Train Loss:26.1564, Val Acc:0.1133
Train Step:130, Train Loss:24.2415, Val Acc:0.1136
Train Step:140, Train Loss:17.4384, Val Acc:0.1174
Train Step:150, Train Loss:12.4756, Val Acc:0.1195
Train Step:160, Train Loss:20.6518, Val Acc:0.1212
Train Step:170, Train Loss:19.7574, Val Acc:0.1228
Train Step:180, Train Loss:16.3730, Val Acc:0.1248
Train Step:190, Train Loss:14.1217, Val Acc:0.1268
Train Step:200, Train Loss:18.1077, Val Acc:0.1292
Train Step:210, Train Loss:17.6340, Val Acc:0.1318
Train Step:220, Train Loss:13.6106, Val Acc:0.1342
Train Step:230, Train Loss:15.6675, Val Acc:0.1359
Train Step:240, Train Loss:15.5995, Val Acc:0.1385
Train Step:250, Train Loss:12.5719, Val Acc:0.1417
Train Step:260, Train Loss:12.7624, Val Acc:0.1436
Train Step:270, Train Loss:11.8535, Val Acc:0.1470
Train Step:280, Train Loss:10.2620, Val Acc:0.1442
Train Step:290, Train Loss:9.6696, Val Acc:0.1458
Train Step:300, Train Loss:13.4171, Val Acc:0.1485
Train Step:310, Train Loss:9.5156, Val Acc:0.1506
Train Step:320, Train Loss:10.8000, Val Acc:0.1603
Train Step:330, Train Loss:8.3815, Val Acc:0.1646
Train Step:340, Train Loss:10.0856, Val Acc:0.1684
Train Step:350, Train Loss:10.2375, Val Acc:0.1719
Train Step:360, Train Loss:7.9820, Val Acc:0.1763
Train Step:370, Train Loss:8.0200, Val Acc:0.1809
Train Step:380, Train Loss:9.0364, Val Acc:0.1855
Train Step:390, Train Loss:9.3116, Val Acc:0.1885
Train Step:400, Train Loss:7.3903, Val Acc:0.1916
Train Step:410, Train Loss:8.0947, Val Acc:0.1946
Train Step:420, Train Loss:6.2273, Val Acc:0.1969
Train Step:430, Train Loss:6.6524, Val Acc:0.2019
Train Step:440, Train Loss:5.4579, Val Acc:0.2063
Train Step:450, Train Loss:7.7490, Val Acc:0.2089
Train Step:460, Train Loss:7.7611, Val Acc:0.2117
Train Step:470, Train Loss:6.0263, Val Acc:0.2159
Train Step:480, Train Loss:6.7404, Val Acc:0.2183
Train Step:490, Train Loss:7.8460, Val Acc:0.2193
Train Step:500, Train Loss:5.0520, Val Acc:0.2212
Train Step:510, Train Loss:6.1543, Val Acc:0.2239
Train Step:520, Train Loss:6.5836, Val Acc:0.2269
Train Step:530, Train Loss:4.6280, Val Acc:0.2287
Train Step:540, Train Loss:4.4930, Val Acc:0.2318
Train Step:550, Train Loss:6.2243, Val Acc:0.2325
Train Step:560, Train Loss:4.3402, Val Acc:0.2354
Train Step:570, Train Loss:4.8917, Val Acc:0.2368
Train Step:580, Train Loss:5.1646, Val Acc:0.2399
Train Step:590, Train Loss:4.2523, Val Acc:0.2432
Train Step:600, Train Loss:4.1549, Val Acc:0.2448
Train Step:610, Train Loss:4.1497, Val Acc:0.2460
Train Step:620, Train Loss:4.6352, Val Acc:0.2487
Train Step:630, Train Loss:5.4655, Val Acc:0.2487
Train Step:640, Train Loss:4.3696, Val Acc:0.2515
Train Step:650, Train Loss:3.4528, Val Acc:0.2530
Train Step:660, Train Loss:3.6189, Val Acc:0.2535
Train Step:670, Train Loss:3.2459, Val Acc:0.2562
Train Step:680, Train Loss:3.7493, Val Acc:0.2570
Train Step:690, Train Loss:2.7389, Val Acc:0.2567
Train Step:700, Train Loss:3.2311, Val Acc:0.2598
Train Step:710, Train Loss:3.3053, Val Acc:0.2602
Train Step:720, Train Loss:3.9209, Val Acc:0.2599
Train Step:730, Train Loss:2.4933, Val Acc:0.2621
Train Step:740, Train Loss:3.3792, Val Acc:0.2622
Train Step:750, Train Loss:4.0526, Val Acc:0.2646
Train Step:760, Train Loss:3.3875, Val Acc:0.2674
Train Step:770, Train Loss:3.1475, Val Acc:0.2690
Train Step:780, Train Loss:3.1322, Val Acc:0.2705
Train Step:790, Train Loss:2.4392, Val Acc:0.2725
Train Step:800, Train Loss:3.3247, Val Acc:0.2732
Train Step:810, Train Loss:2.2721, Val Acc:0.2744
Train Step:820, Train Loss:3.1485, Val Acc:0.2756
Train Step:830, Train Loss:3.0459, Val Acc:0.2766
Train Step:840, Train Loss:2.8501, Val Acc:0.2763
Train Step:850, Train Loss:3.2641, Val Acc:0.2785
Train Step:860, Train Loss:2.5423, Val Acc:0.2800
Train Step:870, Train Loss:2.4837, Val Acc:0.2820
Train Step:880, Train Loss:3.4635, Val Acc:0.2833
Train Step:890, Train Loss:2.5234, Val Acc:0.2837
Train Step:900, Train Loss:2.4662, Val Acc:0.2821
Train Step:910, Train Loss:2.0565, Val Acc:0.2815
Train Step:920, Train Loss:2.4898, Val Acc:0.2823
Train Step:930, Train Loss:2.3556, Val Acc:0.2825
Train Step:940, Train Loss:2.5626, Val Acc:0.2827
Train Step:950, Train Loss:2.9426, Val Acc:0.2843
Train Step:960, Train Loss:2.1135, Val Acc:0.2845
Train Step:970, Train Loss:2.1472, Val Acc:0.2845
Train Step:980, Train Loss:2.5061, Val Acc:0.2869
Train Step:990, Train Loss:2.1165, Val Acc:0.2862
Train Step:1000, Train Loss:2.5945, Val Acc:0.2866
Train Step:1010, Train Loss:2.5474, Val Acc:0.2871
Train Step:1020, Train Loss:2.8383, Val Acc:0.2866
Train Step:1030, Train Loss:2.7690, Val Acc:0.2880
Train Step:1040, Train Loss:1.8614, Val Acc:0.2845
Train Step:1050, Train Loss:2.5733, Val Acc:0.2834
Train Step:1060, Train Loss:2.0600, Val Acc:0.2822
Train Step:1070, Train Loss:2.5611, Val Acc:0.2801
Train Step:1080, Train Loss:2.6409, Val Acc:0.2814
Train Step:1090, Train Loss:1.9181, Val Acc:0.2828
Train Step:1100, Train Loss:2.4290, Val Acc:0.2846
Train Step:1110, Train Loss:2.7353, Val Acc:0.2849
Train Step:1120, Train Loss:2.3206, Val Acc:0.2862
Train Step:1130, Train Loss:1.8613, Val Acc:0.2872
Train Step:1140, Train Loss:2.2978, Val Acc:0.2852
Train Step:1150, Train Loss:2.1891, Val Acc:0.2847
Train Step:1160, Train Loss:2.0130, Val Acc:0.2850
Train Step:1170, Train Loss:2.2595, Val Acc:0.2862
Train Step:1180, Train Loss:2.0020, Val Acc:0.2857
Train Step:1190, Train Loss:2.1188, Val Acc:0.2852
Train Step:1200, Train Loss:1.9221, Val Acc:0.2846
Train Step:1210, Train Loss:1.8688, Val Acc:0.2843
Train Step:1220, Train Loss:2.0370, Val Acc:0.2840
Train Step:1230, Train Loss:2.1696, Val Acc:0.2859
Train Step:1240, Train Loss:2.1689, Val Acc:0.2872
Train Step:1250, Train Loss:2.3424, Val Acc:0.2867
Train Step:1260, Train Loss:2.0898, Val Acc:0.2857
Train Step:1270, Train Loss:2.0063, Val Acc:0.2857
Train Step:1280, Train Loss:2.1035, Val Acc:0.2862
Train Step:1290, Train Loss:2.6061, Val Acc:0.2859
Train Step:1300, Train Loss:2.1605, Val Acc:0.2861
Train Step:1310, Train Loss:2.1108, Val Acc:0.2857
Train Step:1320, Train Loss:2.2624, Val Acc:0.2860
Train Step:1330, Train Loss:2.1367, Val Acc:0.2874
Train Step:1340, Train Loss:2.2209, Val Acc:0.2885
Train Step:1350, Train Loss:2.1910, Val Acc:0.2904
Train Step:1360, Train Loss:1.9139, Val Acc:0.2904
Train Step:1370, Train Loss:2.2188, Val Acc:0.2919
Train Step:1380, Train Loss:2.0119, Val Acc:0.2928
Train Step:1390, Train Loss:2.2346, Val Acc:0.2932
Train Step:1400, Train Loss:2.2302, Val Acc:0.2922
Train Step:1410, Train Loss:2.0512, Val Acc:0.2925
Train Step:1420, Train Loss:1.9037, Val Acc:0.2941
Train Step:1430, Train Loss:2.0366, Val Acc:0.2950
Train Step:1440, Train Loss:2.0299, Val Acc:0.2955
Train Step:1450, Train Loss:2.0432, Val Acc:0.2950
Train Step:1460, Train Loss:2.3172, Val Acc:0.2951
Train Step:1470, Train Loss:2.1704, Val Acc:0.2949
Train Step:1480, Train Loss:2.1404, Val Acc:0.2951
Train Step:1490, Train Loss:1.9478, Val Acc:0.2948
Train Step:1500, Train Loss:2.3903, Val Acc:0.2933
Train Step:1510, Train Loss:1.8261, Val Acc:0.2941
Train Step:1520, Train Loss:2.1347, Val Acc:0.2947
Train Step:1530, Train Loss:1.9225, Val Acc:0.2945
Train Step:1540, Train Loss:2.1544, Val Acc:0.2961
Train Step:1550, Train Loss:2.1871, Val Acc:0.2973
Train Step:1560, Train Loss:1.9654, Val Acc:0.2990
Train Step:1570, Train Loss:2.1357, Val Acc:0.2991
Train Step:1580, Train Loss:2.1968, Val Acc:0.3001
Train Step:1590, Train Loss:2.1207, Val Acc:0.3004
Train Step:1600, Train Loss:2.2016, Val Acc:0.3000
Train Step:1610, Train Loss:1.9663, Val Acc:0.3014
Train Step:1620, Train Loss:2.0997, Val Acc:0.3015
Train Step:1630, Train Loss:2.0842, Val Acc:0.3017
Train Step:1640, Train Loss:2.1628, Val Acc:0.3037
Train Step:1650, Train Loss:2.0422, Val Acc:0.3036
Train Step:1660, Train Loss:1.7015, Val Acc:0.3061
Train Step:1670, Train Loss:2.0963, Val Acc:0.3058
Train Step:1680, Train Loss:1.9659, Val Acc:0.3047
Train Step:1690, Train Loss:2.0244, Val Acc:0.3057
Train Step:1700, Train Loss:2.1986, Val Acc:0.3066
Train Step:1710, Train Loss:2.1021, Val Acc:0.3064
Train Step:1720, Train Loss:2.0028, Val Acc:0.3068
Train Step:1730, Train Loss:2.2576, Val Acc:0.3091
Train Step:1740, Train Loss:2.1761, Val Acc:0.3100
Train Step:1750, Train Loss:2.2441, Val Acc:0.3113
Train Step:1760, Train Loss:2.0728, Val Acc:0.3141
Train Step:1770, Train Loss:1.9820, Val Acc:0.3148
Train Step:1780, Train Loss:2.2074, Val Acc:0.3153
Train Step:1790, Train Loss:1.9037, Val Acc:0.3149
Train Step:1800, Train Loss:1.8587, Val Acc:0.3153
Train Step:1810, Train Loss:1.9870, Val Acc:0.3158
Train Step:1820, Train Loss:2.0994, Val Acc:0.3147
Train Step:1830, Train Loss:2.1936, Val Acc:0.3133
Train Step:1840, Train Loss:2.1246, Val Acc:0.3142
Train Step:1850, Train Loss:1.9729, Val Acc:0.3134
Train Step:1860, Train Loss:1.8351, Val Acc:0.3132
Train Step:1870, Train Loss:2.0449, Val Acc:0.3143
Train Step:1880, Train Loss:2.0134, Val Acc:0.3157
Train Step:1890, Train Loss:2.1166, Val Acc:0.3181
Train Step:1900, Train Loss:1.8941, Val Acc:0.3186
Train Step:1910, Train Loss:1.9404, Val Acc:0.3204
Train Step:1920, Train Loss:2.1399, Val Acc:0.3212
Train Step:1930, Train Loss:1.9231, Val Acc:0.3200
Train Step:1940, Train Loss:2.0257, Val Acc:0.3220
Train Step:1950, Train Loss:2.2400, Val Acc:0.3214
Train Step:1960, Train Loss:1.8755, Val Acc:0.3236
Train Step:1970, Train Loss:1.9277, Val Acc:0.3233
Train Step:1980, Train Loss:2.1660, Val Acc:0.3232
Train Step:1990, Train Loss:1.7686, Val Acc:0.3234
Train Step:2000, Train Loss:2.1104, Val Acc:0.3247
Train Step:2010, Train Loss:1.9116, Val Acc:0.3262
Train Step:2020, Train Loss:2.1787, Val Acc:0.3272
Train Step:2030, Train Loss:2.0489, Val Acc:0.3279
Train Step:2040, Train Loss:2.0861, Val Acc:0.3285
Train Step:2050, Train Loss:2.0579, Val Acc:0.3281
Train Step:2060, Train Loss:2.1423, Val Acc:0.3274
Train Step:2070, Train Loss:2.1018, Val Acc:0.3284
Train Step:2080, Train Loss:1.7164, Val Acc:0.3278
Train Step:2090, Train Loss:1.8580, Val Acc:0.3297
Train Step:2100, Train Loss:1.8523, Val Acc:0.3299
Train Step:2110, Train Loss:1.8496, Val Acc:0.3323
Train Step:2120, Train Loss:1.8908, Val Acc:0.3340
Train Step:2130, Train Loss:2.0244, Val Acc:0.3328
Train Step:2140, Train Loss:2.0312, Val Acc:0.3360
Train Step:2150, Train Loss:2.1405, Val Acc:0.3367
Train Step:2160, Train Loss:2.0460, Val Acc:0.3367
Train Step:2170, Train Loss:2.1094, Val Acc:0.3357
Train Step:2180, Train Loss:1.9930, Val Acc:0.3383
Train Step:2190, Train Loss:1.8923, Val Acc:0.3382
Train Step:2200, Train Loss:2.1839, Val Acc:0.3392
Train Step:2210, Train Loss:2.4358, Val Acc:0.3402
Train Step:2220, Train Loss:2.0676, Val Acc:0.3410
Train Step:2230, Train Loss:1.8410, Val Acc:0.3410
Train Step:2240, Train Loss:1.7561, Val Acc:0.3419
Train Step:2250, Train Loss:1.9771, Val Acc:0.3425
Train Step:2260, Train Loss:1.8863, Val Acc:0.3435
Train Step:2270, Train Loss:1.8857, Val Acc:0.3439
Train Step:2280, Train Loss:2.0416, Val Acc:0.3439
Train Step:2290, Train Loss:1.9683, Val Acc:0.3450
Train Step:2300, Train Loss:1.9536, Val Acc:0.3460
Train Step:2310, Train Loss:1.8494, Val Acc:0.3465
Train Step:2320, Train Loss:1.9831, Val Acc:0.3483
Train Step:2330, Train Loss:1.7878, Val Acc:0.3474
Train Step:2340, Train Loss:2.0684, Val Acc:0.3494
Train Step:2350, Train Loss:1.8058, Val Acc:0.3503
Train Step:2360, Train Loss:2.1948, Val Acc:0.3501
Train Step:2370, Train Loss:1.8054, Val Acc:0.3517
Train Step:2380, Train Loss:1.8603, Val Acc:0.3508
Train Step:2390, Train Loss:2.0985, Val Acc:0.3519
Train Step:2400, Train Loss:1.6529, Val Acc:0.3525
Train Step:2410, Train Loss:2.0638, Val Acc:0.3534
Train Step:2420, Train Loss:1.9533, Val Acc:0.3551
Train Step:2430, Train Loss:1.9126, Val Acc:0.3572
Train Step:2440, Train Loss:1.8482, Val Acc:0.3582
Train Step:2450, Train Loss:1.6944, Val Acc:0.3575
Train Step:2460, Train Loss:2.0269, Val Acc:0.3570
Train Step:2470, Train Loss:2.0390, Val Acc:0.3591
Train Step:2480, Train Loss:1.7529, Val Acc:0.3602
Train Step:2490, Train Loss:1.7266, Val Acc:0.3612
Train Step:2500, Train Loss:1.8447, Val Acc:0.3627
Train Step:2510, Train Loss:1.8296, Val Acc:0.3646
Train Step:2520, Train Loss:1.8909, Val Acc:0.3664
Train Step:2530, Train Loss:1.9663, Val Acc:0.3672
Train Step:2540, Train Loss:1.8587, Val Acc:0.3679
Train Step:2550, Train Loss:2.1045, Val Acc:0.3690
Train Step:2560, Train Loss:2.1337, Val Acc:0.3713
Train Step:2570, Train Loss:1.8676, Val Acc:0.3705
Train Step:2580, Train Loss:1.9570, Val Acc:0.3723
Train Step:2590, Train Loss:1.8024, Val Acc:0.3723
Train Step:2600, Train Loss:1.9424, Val Acc:0.3714
Train Step:2610, Train Loss:1.8700, Val Acc:0.3726
Train Step:2620, Train Loss:2.2380, Val Acc:0.3742
Train Step:2630, Train Loss:1.5883, Val Acc:0.3731
Train Step:2640, Train Loss:1.7769, Val Acc:0.3734
Train Step:2650, Train Loss:1.5700, Val Acc:0.3752
Train Step:2660, Train Loss:1.9639, Val Acc:0.3760
Train Step:2670, Train Loss:1.7419, Val Acc:0.3771
Train Step:2680, Train Loss:2.0326, Val Acc:0.3778
Train Step:2690, Train Loss:1.7173, Val Acc:0.3795
Train Step:2700, Train Loss:2.2729, Val Acc:0.3817
Train Step:2710, Train Loss:1.7767, Val Acc:0.3821
