Train Step:10, Train Loss:20.8659, Val Acc:0.0950
Train Step:20, Train Loss:21.0890, Val Acc:0.0950
Train Step:30, Train Loss:17.0613, Val Acc:0.0951
Train Step:40, Train Loss:20.6781, Val Acc:0.0952
Train Step:50, Train Loss:19.2124, Val Acc:0.0950
Train Step:60, Train Loss:21.3268, Val Acc:0.0954
Train Step:70, Train Loss:21.3148, Val Acc:0.0955
Train Step:80, Train Loss:20.2550, Val Acc:0.0957
Train Step:90, Train Loss:17.3095, Val Acc:0.0962
Train Step:100, Train Loss:15.3643, Val Acc:0.0962
Train Step:110, Train Loss:15.9029, Val Acc:0.0964
Train Step:120, Train Loss:14.0207, Val Acc:0.0964
Train Step:130, Train Loss:14.8006, Val Acc:0.0967
Train Step:140, Train Loss:14.2474, Val Acc:0.0969
Train Step:150, Train Loss:16.2163, Val Acc:0.0969
Train Step:160, Train Loss:13.5565, Val Acc:0.0969
Train Step:170, Train Loss:10.9693, Val Acc:0.0971
Train Step:180, Train Loss:13.1011, Val Acc:0.0971
Train Step:190, Train Loss:9.3475, Val Acc:0.0974
Train Step:200, Train Loss:9.5422, Val Acc:0.0973
Train Step:210, Train Loss:10.4719, Val Acc:0.0969
Train Step:220, Train Loss:10.9152, Val Acc:0.0970
Train Step:230, Train Loss:12.1135, Val Acc:0.0972
Train Step:240, Train Loss:9.0499, Val Acc:0.0974
Train Step:250, Train Loss:9.7461, Val Acc:0.0979
Train Step:260, Train Loss:8.3824, Val Acc:0.0981
Train Step:270, Train Loss:8.1813, Val Acc:0.0980
Train Step:280, Train Loss:8.6309, Val Acc:0.0981
Train Step:290, Train Loss:7.3798, Val Acc:0.0982
Train Step:300, Train Loss:8.8922, Val Acc:0.0983
Train Step:310, Train Loss:6.0798, Val Acc:0.0984
Train Step:320, Train Loss:6.2709, Val Acc:0.0986
Train Step:330, Train Loss:9.6325, Val Acc:0.0987
Train Step:340, Train Loss:6.4796, Val Acc:0.0988
Train Step:350, Train Loss:7.6529, Val Acc:0.0989
Train Step:360, Train Loss:6.6434, Val Acc:0.0990
Train Step:370, Train Loss:7.8446, Val Acc:0.0990
