Train Step:10, Train Loss:2.1404, Val Acc:0.1894
Train Step:20, Train Loss:2.0819, Val Acc:0.2874
Train Step:30, Train Loss:1.9191, Val Acc:0.3928
Train Step:40, Train Loss:1.8378, Val Acc:0.4706
Train Step:50, Train Loss:1.8445, Val Acc:0.5446
Train Step:60, Train Loss:1.7924, Val Acc:0.5901
Train Step:70, Train Loss:1.7651, Val Acc:0.6334
Train Step:80, Train Loss:1.6913, Val Acc:0.7082
Train Step:90, Train Loss:1.6420, Val Acc:0.7714
Train Step:100, Train Loss:1.5685, Val Acc:0.7822
Train Step:110, Train Loss:1.5739, Val Acc:0.8115
Train Step:120, Train Loss:1.5419, Val Acc:0.8344
Train Step:130, Train Loss:1.3877, Val Acc:0.8590
Train Step:140, Train Loss:1.3985, Val Acc:0.8633
Train Step:150, Train Loss:1.3697, Val Acc:0.8745
Train Step:160, Train Loss:1.3701, Val Acc:0.8805
Train Step:170, Train Loss:1.1846, Val Acc:0.8759
Train Step:180, Train Loss:1.1469, Val Acc:0.8928
Train Step:190, Train Loss:1.0726, Val Acc:0.9091
Train Step:200, Train Loss:1.1505, Val Acc:0.9086
Train Step:210, Train Loss:1.0605, Val Acc:0.9152
Train Step:220, Train Loss:1.0155, Val Acc:0.9241
Train Step:230, Train Loss:1.1322, Val Acc:0.9144
Train Step:240, Train Loss:0.8801, Val Acc:0.9175
Train Step:250, Train Loss:0.9763, Val Acc:0.9245
Train Step:260, Train Loss:0.8238, Val Acc:0.9322
Train Step:270, Train Loss:0.8260, Val Acc:0.9335
Train Step:280, Train Loss:0.7874, Val Acc:0.9304
Train Step:290, Train Loss:0.6939, Val Acc:0.9342
Train Step:300, Train Loss:0.6807, Val Acc:0.9371
Train Step:310, Train Loss:0.6830, Val Acc:0.9383
Train Step:320, Train Loss:0.5532, Val Acc:0.9410
Train Step:330, Train Loss:0.5826, Val Acc:0.9393
Train Step:340, Train Loss:0.5705, Val Acc:0.9404
Train Step:350, Train Loss:0.4271, Val Acc:0.9425
Train Step:360, Train Loss:0.4604, Val Acc:0.9409
Train Step:370, Train Loss:0.5491, Val Acc:0.9417
Train Step:380, Train Loss:0.6385, Val Acc:0.9425
Train Step:390, Train Loss:0.5253, Val Acc:0.9424
Train Step:400, Train Loss:0.4153, Val Acc:0.9427
Train Step:410, Train Loss:0.4003, Val Acc:0.9400
Train Step:420, Train Loss:0.5884, Val Acc:0.9388
Train Step:430, Train Loss:0.3989, Val Acc:0.9459
Train Step:440, Train Loss:0.4430, Val Acc:0.9495
Train Step:450, Train Loss:0.3664, Val Acc:0.9493
Train Step:460, Train Loss:0.3692, Val Acc:0.9524
Train Step:470, Train Loss:0.4677, Val Acc:0.9549
Train Step:480, Train Loss:0.3690, Val Acc:0.9529
Train Step:490, Train Loss:0.5753, Val Acc:0.9517
Train Step:500, Train Loss:0.3609, Val Acc:0.9497
Train Step:510, Train Loss:0.2177, Val Acc:0.9476
Train Step:520, Train Loss:0.2819, Val Acc:0.9507
Train Step:530, Train Loss:0.2390, Val Acc:0.9489
Train Step:540, Train Loss:0.3385, Val Acc:0.9498
Train Step:550, Train Loss:0.3680, Val Acc:0.9517
Train Step:560, Train Loss:0.2048, Val Acc:0.9544
Train Step:570, Train Loss:0.3043, Val Acc:0.9549
Train Step:580, Train Loss:0.3623, Val Acc:0.9498
Train Step:590, Train Loss:0.4453, Val Acc:0.9534
Train Step:600, Train Loss:0.3241, Val Acc:0.9552
Train Step:610, Train Loss:0.2746, Val Acc:0.9572
Train Step:620, Train Loss:0.3001, Val Acc:0.9566
Train Step:630, Train Loss:0.3345, Val Acc:0.9600
Train Step:640, Train Loss:0.2085, Val Acc:0.9600
Train Step:650, Train Loss:0.2652, Val Acc:0.9599
Train Step:660, Train Loss:0.2677, Val Acc:0.9591
Train Step:670, Train Loss:0.3039, Val Acc:0.9586
Train Step:680, Train Loss:0.2133, Val Acc:0.9605
Train Step:690, Train Loss:0.3407, Val Acc:0.9601
Train Step:700, Train Loss:0.2252, Val Acc:0.9612
Train Step:710, Train Loss:0.1995, Val Acc:0.9614
Train Step:720, Train Loss:0.3231, Val Acc:0.9604
Train Step:730, Train Loss:0.1610, Val Acc:0.9588
Train Step:740, Train Loss:0.2109, Val Acc:0.9590
Train Step:750, Train Loss:0.2747, Val Acc:0.9615
Train Step:760, Train Loss:0.2531, Val Acc:0.9612
Train Step:770, Train Loss:0.1863, Val Acc:0.9600
Train Step:780, Train Loss:0.4355, Val Acc:0.9622
Train Step:790, Train Loss:0.2343, Val Acc:0.9520
Train Step:800, Train Loss:0.3825, Val Acc:0.9519
Train Step:810, Train Loss:0.2208, Val Acc:0.9568
Train Step:820, Train Loss:0.2165, Val Acc:0.9594
Train Step:830, Train Loss:0.2544, Val Acc:0.9600
Train Step:840, Train Loss:0.3299, Val Acc:0.9622
Train Step:850, Train Loss:0.2256, Val Acc:0.9632
Train Step:860, Train Loss:0.2307, Val Acc:0.9642
Train Step:870, Train Loss:0.1759, Val Acc:0.9626
Train Step:880, Train Loss:0.1629, Val Acc:0.9590
Train Step:890, Train Loss:0.3041, Val Acc:0.9587
Train Step:900, Train Loss:0.1445, Val Acc:0.9587
Train Step:910, Train Loss:0.1171, Val Acc:0.9653
Train Step:920, Train Loss:0.2999, Val Acc:0.9655
Train Step:930, Train Loss:0.3239, Val Acc:0.9657
Train Step:940, Train Loss:0.1543, Val Acc:0.9640
Train Step:950, Train Loss:0.1449, Val Acc:0.9616
Train Step:960, Train Loss:0.0934, Val Acc:0.9657
Train Step:970, Train Loss:0.1560, Val Acc:0.9674
Train Step:980, Train Loss:0.3091, Val Acc:0.9658
Train Step:990, Train Loss:0.1684, Val Acc:0.9636
Train Step:1000, Train Loss:0.1239, Val Acc:0.9662
Train Step:1010, Train Loss:0.1995, Val Acc:0.9634
Train Step:1020, Train Loss:0.2062, Val Acc:0.9652
Train Step:1030, Train Loss:0.1803, Val Acc:0.9667
Train Step:1040, Train Loss:0.1438, Val Acc:0.9691
Train Step:1050, Train Loss:0.1689, Val Acc:0.9693
Train Step:1060, Train Loss:0.1923, Val Acc:0.9696
Train Step:1070, Train Loss:0.1450, Val Acc:0.9703
Train Step:1080, Train Loss:0.1430, Val Acc:0.9698
Train Step:1090, Train Loss:0.0745, Val Acc:0.9689
Train Step:1100, Train Loss:0.1571, Val Acc:0.9698
Train Step:1110, Train Loss:0.1854, Val Acc:0.9702
Train Step:1120, Train Loss:0.2657, Val Acc:0.9688
Train Step:1130, Train Loss:0.1048, Val Acc:0.9695
Train Step:1140, Train Loss:0.1319, Val Acc:0.9691
Train Step:1150, Train Loss:0.0952, Val Acc:0.9692
Train Step:1160, Train Loss:0.0619, Val Acc:0.9710
Train Step:1170, Train Loss:0.1516, Val Acc:0.9719
Train Step:1180, Train Loss:0.0368, Val Acc:0.9723
Train Step:1190, Train Loss:0.0892, Val Acc:0.9697
Train Step:1200, Train Loss:0.2104, Val Acc:0.9698
Train Step:1210, Train Loss:0.0586, Val Acc:0.9678
Train Step:1220, Train Loss:0.1127, Val Acc:0.9666
Train Step:1230, Train Loss:0.2583, Val Acc:0.9690
Train Step:1240, Train Loss:0.1676, Val Acc:0.9709
Train Step:1250, Train Loss:0.1878, Val Acc:0.9715
