Train Step:10, Train Loss:27.4906, Val Acc:0.1157
Train Step:20, Train Loss:31.9301, Val Acc:0.1182
Train Step:30, Train Loss:21.3154, Val Acc:0.1184
Train Step:40, Train Loss:20.4706, Val Acc:0.1218
Train Step:50, Train Loss:22.4349, Val Acc:0.1210
Train Step:60, Train Loss:22.5996, Val Acc:0.1238
Train Step:70, Train Loss:20.4200, Val Acc:0.1291
Train Step:80, Train Loss:17.4453, Val Acc:0.1317
Train Step:90, Train Loss:12.1848, Val Acc:0.1320
Train Step:100, Train Loss:13.9432, Val Acc:0.1351
Train Step:110, Train Loss:14.6387, Val Acc:0.1364
Train Step:120, Train Loss:12.8706, Val Acc:0.1373
Train Step:130, Train Loss:11.3634, Val Acc:0.1368
Train Step:140, Train Loss:11.7804, Val Acc:0.1377
Train Step:150, Train Loss:11.8726, Val Acc:0.1394
Train Step:160, Train Loss:9.5788, Val Acc:0.1410
Train Step:170, Train Loss:9.1759, Val Acc:0.1432
Train Step:180, Train Loss:9.4200, Val Acc:0.1478
Train Step:190, Train Loss:8.2364, Val Acc:0.1505
Train Step:200, Train Loss:9.8045, Val Acc:0.1511
Train Step:210, Train Loss:8.1361, Val Acc:0.1534
Train Step:220, Train Loss:7.6884, Val Acc:0.1552
Train Step:230, Train Loss:8.2567, Val Acc:0.1552
Train Step:240, Train Loss:6.1950, Val Acc:0.1547
Train Step:250, Train Loss:6.3859, Val Acc:0.1555
Train Step:260, Train Loss:7.2711, Val Acc:0.1584
Train Step:270, Train Loss:4.9528, Val Acc:0.1598
Train Step:280, Train Loss:5.1709, Val Acc:0.1618
Train Step:290, Train Loss:5.3215, Val Acc:0.1618
Train Step:300, Train Loss:4.9833, Val Acc:0.1636
Train Step:310, Train Loss:4.0675, Val Acc:0.1646
Train Step:320, Train Loss:3.9096, Val Acc:0.1662
Train Step:330, Train Loss:3.9846, Val Acc:0.1662
Train Step:340, Train Loss:4.0211, Val Acc:0.1685
